Frame, Time_def, Emg1, Emg2, Emg3, Emg4, AccX, AccY, AccZ
6400, 0.0050545, -6, -1, -1, 0, -0.255371, 0.447266, 0.878906
6401, 0.00511131, -6, -1, -1, 0, -0.255371, 0.447266, 0.878906
6402, 0.00491082, -6, -1, -1, 0, -0.255371, 0.447266, 0.878906
6403, 0.00506953, -1, -1, 2, 4, -0.255371, 0.447266, 0.878906
6404, 0.00498743, -1, -5, -1, 0, -0.256348, 0.431641, 0.876953
6405, 0.00509702, -1, -5, -1, 0, -0.256348, 0.431641, 0.876953
6406, 0.00490679, 1, -1, -3, -4, -0.289551, 0.477539, 0.871582
6407, 0.0049724, 1, -1, -3, -4, -0.289551, 0.477539, 0.871582
6408, 0.00502811, 0, 9, 0, 0, -0.289551, 0.477539, 0.871582
6409, 0.00495774, 0, 4, 2, 0, -0.289551, 0.477539, 0.871582
6410, 0.00507393, 0, 4, 2, 0, -0.289551, 0.477539, 0.871582
6411, 0.00496837, 0, 4, 2, 0, -0.212402, 0.541016, 0.885254
6412, 0.00491669, 5, 5, 0, -1, -0.212402, 0.541016, 0.885254
6413, 0.00508786, 5, 5, 0, -1, -0.212402, 0.541016, 0.885254
6414, 0.00497203, 6, 1, 0, -4, -0.212402, 0.541016, 0.885254
6415, 0.00501712, -2, -11, 4, -2, -0.215332, 0.544922, 0.900879
6416, 0.00498633, -2, -11, 4, -2, -0.215332, 0.544922, 0.900879
6417, 0.00499879, -2, -11, 4, -2, -0.215332, 0.544922, 0.900879
6418, 0.00498633, 2, -9, -13, -8, -0.264648, 0.558594, 0.932129
6419, 0.00512891, 2, -9, -13, -8, -0.264648, 0.558594, 0.932129
6420, 0.00495957, -7, -7, -5, -3, -0.264648, 0.558594, 0.932129
6421, 0.00493574, -5, -11, -3, -2, -0.264648, 0.558594, 0.932129
6422, 0.00502335, -5, -11, -3, -2, -0.264648, 0.558594, 0.932129
6423, 0.00496177, -5, -11, -3, -2, -0.287109, 0.628418, 0.984375
6424, 0.0050644, 11, 10, 17, -2, -0.287109, 0.628418, 0.984375
6425, 0.00517692, 11, 10, 17, -2, -0.287109, 0.628418, 0.984375
6426, 0.00484558, -20, -10, -6, -2, -0.287109, 0.628418, 0.984375
6427, 0.00584915, 6, 4, -8, -1, -0.304688, 0.635742, 1.00586
6428, 0.00509775, 6, 4, -8, -1, -0.304688, 0.635742, 1.00586
6429, 0.0048804, 6, 4, -8, -1, -0.304688, 0.635742, 1.00586
6430, 0.00511901, 11, -3, -3, -2, -0.318848, 0.602539, 0.967773
6431, 0.00532757, -19, 47, 24, 11, -0.318848, 0.602539, 0.967773
6432, 0.00471069, -19, 47, 24, 11, -0.318848, 0.602539, 0.967773
6433, 0.0048639, 15, 10, 10, 21, -0.318848, 0.602539, 0.967773
6434, 0.00510948, 15, 10, 10, 21, -0.390625, 0.538086, 1.11523
6435, 0.00498743, 15, 10, 10, 21, -0.390625, 0.538086, 1.11523
6436, 0.0050611, -32, -78, -92, -25, -0.390625, 0.538086, 1.11523
6437, 0.00489579, -58, 90, 55, 18, -0.390625, 0.538086, 1.11523
6438, 0.0050655, -58, 90, 55, 18, -0.390625, 0.538086, 1.11523
6439, 0.00496617, 5, -112, -64, -11, -0.598633, 0.388184, 1.28271
6440, 0.00500429, 5, -112, -64, -11, -0.598633, 0.388184, 1.28271
6441, 0.00499402, 5, -112, -64, -11, -0.598633, 0.388184, 1.28271
6442, 0.00504277, -2, 119, -100, -28, -0.78125, 0.23877, 1.58545
6443, 0.00498046, 21, -28, -10, 5, -0.78125, 0.23877, 1.58545
6444, 0.0049625, 21, -28, -10, 5, -0.78125, 0.23877, 1.58545
6445, 0.00492365, -2, -111, 32, -2, -0.78125, 0.23877, 1.58545
6446, 0.00511498, -2, -111, 32, -2, 0.124512, 0.365723, 1.35156
6447, 0.00489579, -2, -111, 32, -2, 0.124512, 0.365723, 1.35156
6448, 0.00510362, 113, -118, 112, 23, 0.124512, 0.365723, 1.35156
6449, 0.00487783, 7, -114, -75, -62, 0.124512, 0.365723, 1.35156
6450, 0.00507576, 7, -114, -75, -62, 0.124512, 0.365723, 1.35156
6451, 0.00508346, 51, 18, 57, 3, 0.506836, 1.53662, 0.55127
6452, 0.00487563, 51, 18, 57, 3, 0.506836, 1.53662, 0.55127
6453, 0.00503178, 51, 18, 57, 3, 0.506836, 1.53662, 0.55127
6454, 0.0050567, 78, 86, -127, 43, 1.2168, 2.69434, -2.28076
6455, 0.00493978, -76, 124, 5, -8, 1.2168, 2.69434, -2.28076
6456, 0.00504314, -76, 124, 5, -8, 1.2168, 2.69434, -2.28076
6457, 0.00489066, -30, -106, -83, -18, 1.2168, 2.69434, -2.28076
6458, 0.00544449, -30, -106, -83, -18, 1.2168, 2.69434, -2.28076
6459, 0.00484484, -30, -106, -83, -18, 1.2168, 2.69434, -2.28076
6460, 0.00484594, -28, -78, 0, -1, -0.0830078, 0.0141602, 1.19873
6461, 0.00497203, -4, 111, 29, 12, -0.0830078, 0.0141602, 1.19873
6462, 0.00501308, -4, 111, 29, 12, -0.0830078, 0.0141602, 1.19873
6463, 0.00500795, -15, 80, 3, 4, 0.319824, -1.83447, 0.756348
6464, 0.0049768, -15, 80, 3, 4, 0.319824, -1.83447, 0.756348
6465, 0.00499182, -15, 80, 3, 4, 0.319824, -1.83447, 0.756348
6466, 0.00497973, -47, 103, 10, 4, -0.090332, -1.61426, 1.25391
6467, 0.00502518, 34, -124, -13, -4, -0.090332, -1.61426, 1.25391
6468, 0.0049691, 34, -124, -13, -4, -0.090332, -1.61426, 1.25391
6469, 0.00500465, 22, -27, 10, 2, -0.090332, -1.61426, 1.25391
6470, 0.00494381, 22, -27, 10, 2, -0.459961, -1.03369, 0.915527
6471, 0.00501052, 22, -27, 10, 2, -0.459961, -1.03369, 0.915527
6472, 0.00496837, -2, 100, 33, 2, -0.459961, -1.03369, 0.915527
6473, 0.0051487, -4, -80, 9, 0, -0.459961, -1.03369, 0.915527
6474, 0.00493721, -4, -80, 9, 0, -0.459961, -1.03369, 0.915527
6475, 0.00520075, -16, 119, 19, 8, -0.17041, 0.129883, 0.87793
6476, 0.00483788, -16, 119, 19, 8, -0.17041, 0.129883, 0.87793
6477, 0.0048804, -16, 119, 19, 8, -0.17041, 0.129883, 0.87793
6478, 0.00515713, -16, 119, 19, 8, -0.17041, 0.129883, 0.87793
6479, 0.00490789, -16, 119, 19, 8, -0.17041, 0.129883, 0.87793
6480, 0.005049, -59, 14, -38, -15, -0.183594, 0.596191, 0.802734
6481, 0.00491412, -1, 59, 24, 7, -0.183594, 0.596191, 0.802734
6482, 0.00507613, -1, 59, 24, 7, -0.26416, 0.231934, 0.816406
6483, 0.00525316, -1, 59, 24, 7, -0.26416, 0.231934, 0.816406
6484, 0.00476237, -7, 44, -14, -6, -0.26416, 0.231934, 0.816406
6485, 0.00528175, -8, -3, 0, 2, -0.26416, 0.231934, 0.816406
6486, 0.00468357, -8, -3, 0, 2, -0.26416, 0.231934, 0.816406
6487, 0.00494857, 14, 17, 18, 5, -0.325195, -0.287109, 0.902344
6488, 0.00509372, 14, 17, 18, 5, -0.325195, -0.287109, 0.902344
6489, 0.00491229, 14, 17, 18, 5, -0.325195, -0.287109, 0.902344
6490, 0.0050611, 3, 13, -10, -3, -0.286133, -0.458984, 0.94873
6491, 0.00545182, -24, -2, -7, 0, -0.286133, -0.458984, 0.94873
6492, 0.00459194, -24, -2, -7, 0, -0.286133, -0.458984, 0.94873
6493, 0.00509482, -4, -12, -13, 1, -0.286133, -0.458984, 0.94873
6494, 0.00488443, -4, -12, -13, 1, -0.286133, -0.458984, 0.94873
6495, 0.00501382, -4, -12, -13, 1, -0.307129, -0.40625, 0.927734
6496, 0.00497936, 5, -19, 7, 5, -0.307129, -0.40625, 0.927734
6497, 0.0048859, -6, -16, 43, 8, -0.307129, -0.40625, 0.927734
6498, 0.00509665, -6, -16, 43, 8, -0.307129, -0.40625, 0.927734
6499, 0.00497936, -2, -1, -8, 0, -0.376953, -0.315918, 0.912109
6500, 0.0050457, -2, -1, -8, 0, -0.376953, -0.315918, 0.912109
